ID,Name,Address,Type,PreferredGoods
DK9279291478,Jysk Løsninger,"Søndergade 129, 8700 Horsens",Company,household
DK8047877267,Text Sheet Page I/S,"Syrenvej 132, 9800 Hjørring",Company,paper
DK2753617371,Style Fashion,"Kongensgade 48, 4600 Køge",Company,"clothing, raw_materials"
DK3358880404,Edible Culinary Møbel,"Solsikkevej 72, 3600 Frederikssund",Company,food
DK3436297208,Handel ApS,"Østergade 120, 2200 København N",Company,"electronics, chemicals, food"
DK6837982055,Jacob Andresen,"Sct. Annagade 81, 2635 Ishøj",Individual,No preference
DK5763350700,Write Print,"Dalvej 14, 3600 Frederikssund",Company,"paper, household, cosmetics"
DK9718391309,Anna Mathiasen,"Torvet 30, 2800 Lyngby",Individual,No preference
DK6644496636,Frederik Jørgensen,"Kløvervej 117, 2630 Taastrup",Individual,No preference
DK9471306442,Food Super Handel IVS,"Bredgade 72, 3660 Stenløse",Company,"produce, chemicals, food"
DK7808938880,Solution Substance Fødevare Holding,"Adelgade 107, 2650 Hvidovre",Company,chemicals
DK6756711494,Hydration Fluid Drink A/S,"Granvej 54, 8600 Silkeborg",Company,"cosmetics, beverages, chemicals"
DK9467483275,Recreation Gruppe,"Lupinvej 94, 6100 Haderslev",Company,"beverages, toys"
DK7852415525,Chemical Good Solution,"Lavgade 103, 3500 Værløse",Company,chemicals
DK1798112150,Cosmetic ApS,"Tjørnevej 16, 9000 Aalborg",Company,"cosmetics, produce"
DK3178995337,Guld Draw Study,"Skolevej 116, 8800 Viborg",Company,stationery
DK6046864799,Lager Koncern,"Birkevej 66, 3000 Helsingør",Company,"raw_materials, luxury, food"
DK3791027186,Text Book,"Jernbanegade 38, 4700 Næstved",Company,paper
DK2140169349,Detail IVS,"Østergade 56, 9800 Hjørring",Company,"paper, food, chemicals"
DK9912233947,Jysk First Primary,"Tjørnevej 70, 3000 Helsingør",Company,"household, luxury, raw_materials"
DK2247484671,Diet K/S,"Birkevej 135, 4300 Holbæk",Company,"furniture, sports, food"
DK5028688786,Digital Digital,"Granvej 132, 8800 Viborg",Company,electronics
DK2224336336,Kongelig Prime Engros K/S,"Hasselvej 75, 7500 Holstebro",Company,"beverages, food"
DK6879428703,Kongelig Solution Harvest,"Kongensgade 121, 2820 Gentofte",Company,"chemicals, electronics, produce"
DK2409274786,Sort Detail,"Solsikkevej 85, 4400 Kalundborg",Company,beverages
DK1519709079,Løsninger Group,"Lærkevej 72, 4300 Holbæk",Company,"food, luxury"
DK9903351330,Care Innovative Møbel,"Søndergade 54, 5700 Svendborg",Company,"luxury, medical"
DK9526836552,Luxury Value Prestige P/S,"Egevej 26, 8600 Silkeborg",Company,luxury
DK7161404428,Kvalitets Game,"Tulipanvej 147, 2750 Ballerup",Company,"toys, food"
DK8417757797,Radiant Group,"Algade 10, 5800 Nyborg",Company,"cosmetics, luxury, electronics"
DK4696689457,Gul Furnish,"Tjørnevej 55, 7400 Herning",Company,"household, medical_equipment, furniture"
DK6691628146,Løsninger I/S,"Bakkevej 118, 2670 Greve",Company,luxury
DK9123612497,Performance Better Care Koncern,"Solsikkevej 94, 2000 Frederiksberg",Company,"toys, sports, medical"
DK2928130926,Fabric Link BioMed,"Tjørnevej 72, 5700 Svendborg",Company,"household, clothing, medical_equipment"
DK8691288568,Fashion Stitch,"Vibevej 95, 9000 Aalborg",Company,clothing
DK8313706299,Øst Direct Fine,"Elmevej 136, 2620 Albertslund",Company,luxury
DK1662259333,Comfort Natural Residence,"Rosenvej 101, 9900 Frederikshavn",Company,household
DK5482431018,Forarbejdning Group,"Tjørnevej 142, 2800 Lyngby",Company,"household, luxury, produce"
DK5667181604,Print Paper Forarbejdning,"Stationsvej 36, 4300 Holbæk",Company,paper
DK4673457063,Syd Habitat Handel ApS,"Hovedgaden 30, 7000 Fredericia",Company,"household, medical_equipment"
DK8160279830,Taste Taste Holding,"Kongensgade 110, 2620 Albertslund",Company,"furniture, food, paper"
DK5160575046,Detail I/S,"Klostervej 64, 3520 Farum",Company,"food, clothing, cosmetics"
DK1205082311,Habitat Habitat Holding,"Engvej 8, 3000 Helsingør",Company,household
DK7772180882,Health ApS,"Bakkevej 149, 2800 Lyngby",Company,medical
DK9432406811,Mette Anna Kristiansen,"Skolevej 77, 4300 Holbæk",Individual,No preference
DK5829062179,Møbel IVS,"Lupinvej 108, 5800 Nyborg",Company,"medical_equipment, food"
DK9309500117,Kongelig Discount Systemer IVS,"Søndergade 76, 3660 Stenløse",Company,"electronics, sports, furniture"
DK4096932037,Basic Pro Active,"Klostervej 101, 4800 Nykøbing F",Company,"food, raw_materials, sports"
DK7556046460,Andreas Madsen,"Ahornvej 134, 8000 Aarhus C",Individual,No preference
DK4531928910,Byggeri A/S,"Bakkevej 131, 9800 Hjørring",Company,raw_materials
DK7818568548,Couture Thread Group,"Ringvejen 117, 8900 Randers",Company,clothing
DK5923940434,Chemical Spedition,"Nørregade 131, 2750 Ballerup",Company,"cosmetics, chemicals, luxury"
DK6231117883,Apparatus A/S,"Nørremarksvej 93, 2820 Gentofte",Company,"medical_equipment, furniture"
DK3739951076,Vest Fashion Apparel,"Stationsvej 8, 3400 Hillerød",Company,clothing
DK5422697684,Pernille Christian Olsen,"Lavgade 90, 9000 Aalborg",Individual,No preference
DK3987248494,Lifestyle Clinical,"Nørregade 131, 2200 København N",Company,"medical_equipment, household"
DK6358023411,Circuit Holding,"Lærkevej 102, 2000 Frederiksberg",Company,"electronics, medical"
DK3109688769,BioMed Stitch,"Parkvej 19, 2820 Gentofte",Company,"medical_equipment, clothing, furniture"
DK2428156550,Comfort Habitat Habitat P/S,"Bakkevej 109, 8200 Aarhus N",Company,household
DK8075122626,Page Script Lager I/S,"Jasminvej 100, 9000 Aalborg",Company,"paper, clothing, medical"
DK7660813178,Desk Prime Element,"Algade 12, 6700 Esbjerg",Company,"stationery, chemicals, paper"
DK4748302739,Skandinavisk Electro Gruppe,"Strandvejen 36, 9000 Aalborg",Company,"produce, electronics"
DK7196439534,Nord Vital,"Parkvej 69, 3000 Helsingør",Company,medical
DK7059591606,Remedy Group,"Dronningensgade 80, 7500 Holstebro",Company,medical
DK3965676060,Nord Kid Koncern,"Engvej 26, 7500 Holstebro",Company,"produce, paper, toys"
DK4500557310,Drikke Gruppe,"Brogade 92, 5700 Svendborg",Company,"medical, chemicals"
DK9333490239,Produce Royal Print,"Nørregade 19, 9800 Hjørring",Company,"paper, furniture, produce"
DK9206195514,Mette Victor Østergaard,"Kirkevej 87, 8600 Silkeborg",Individual,No preference
DK8943866829,Liquid I/S,"Egevej 31, 7400 Herning",Company,"beverages, luxury"
DK9503787171,Kvalitets Produktion ApS,"Granvej 117, 7000 Fredericia",Company,beverages
DK6276339732,Training Energetic Athletic,"Vestergade 142, 8600 Silkeborg",Company,sports
DK1785418196,Jacob Christian Mathiesen,"Søndergade 126, 4300 Holbæk",Individual,No preference
DK6110943464,Rikke Mathiasen,"Kløvervej 91, 3660 Stenløse",Individual,No preference
DK7109428566,Helle Louise Knudsen,"Slotsgade 138, 2650 Hvidovre",Individual,No preference
DK6754503097,Kvalitets Apparatus Engros,"Adelgade 135, 4200 Slagelse",Company,"beverages, medical_equipment, produce"
DK4145461251,Fynsk World Brew,"Tjørnevej 35, 4700 Næstved",Company,beverages
DK1288765093,Beverage ApS,"Brogade 83, 3660 Stenløse",Company,"raw_materials, luxury, beverages"
DK2480915452,Kvalitets Assist Pure,"Hasselvej 120, 2635 Ishøj",Company,"cosmetics, produce, beverages"
DK3691864041,Sort Child,"Platanvej 50, 7000 Fredericia",Company,toys
DK3597724331,Syd Residence Residence Group,"Dalvej 55, 8600 Silkeborg",Company,household
DK2891100776,Play Joy Butik Holding,"Industrivej 87, 4400 Kalundborg",Company,"toys, furniture"
DK4159699467,Paper Formula,"Bredgade 61, 1000 København K",Company,"chemicals, toys, stationery"
DK7575259637,Derma Koncern,"Syrenvej 53, 4300 Holbæk",Company,"cosmetics, furniture"
DK2789144223,Stitch Energetic Document Holding,"Elmevej 26, 6000 Kolding",Company,"clothing, sports, paper"
DK3639796200,Detail Group,"Søndermarken 14, 6400 Sønderborg",Company,medical_equipment
DK1338704421,Niels Martin Jakobsen,"Rosenvej 66, 3500 Værløse",Individual,No preference
DK7760554363,Cultivate Tech,"Nørregade 133, 2800 Lyngby",Company,"produce, electronics, beverages"
DK7070083150,Synthesis IVS,"Møllevej 121, 7500 Holstebro",Company,"household, chemicals"
DK7199283151,Kongelig Page Stitch,"Østergade 102, 2000 Frederiksberg",Company,"paper, sports, clothing"
DK4289233844,Active IVS,"Tjørnevej 137, 8000 Aarhus C",Company,"paper, sports"
DK4853479481,Rød Exclusive A/S,"Østergade 2, 4300 Holbæk",Company,luxury
DK8387664437,Recreation Natural Engros,"Hovedgaden 122, 2620 Albertslund",Company,"toys, luxury"
DK9080621072,Sheet A/S,"Dalvej 88, 3600 Frederikssund",Company,"toys, paper"
DK7988845536,Gadget A1 Device,"Poppelvej 96, 1000 København K",Company,electronics
DK1730074215,Fluid Hydration,"Hasselvej 48, 3500 Værløse",Company,"beverages, cosmetics"
DK1957668578,Anna Jørgensen,"Jasminvej 122, 5800 Nyborg",Individual,No preference
DK5419627962,Kongelig Ingeniør Holding,"Tulipanvej 31, 2000 Frederiksberg",Company,produce
DK4102872611,Wear Lager IVS,"Østergade 125, 3600 Frederikssund",Company,"medical_equipment, clothing, luxury"
DK5358791907,Text Nice Text P/S,"Dalvej 88, 3460 Birkerød",Company,"paper, raw_materials, chemicals"
DK2693932560,Hanne Lauritsen,"Rosenvej 146, 2820 Gentofte",Individual,No preference
DK8424513063,Frederik Hanne Dahl,"Stationsvej 85, 7500 Holstebro",Individual,No preference
DK8758809005,Synthesis Eco Wood,"Rosenvej 111, 7400 Herning",Company,"sports, furniture, chemicals"
DK9744120054,Jysk Skin Essence IVS,"Kirkevej 25, 7100 Vejle",Company,cosmetics
DK7183058541,Garden First Garden,"Skolevej 81, 4000 Roskilde",Company,produce
DK9581991473,Byggeri Group,"Dalvej 19, 3460 Birkerød",Company,"chemicals, food, produce"
DK8299146480,Nord Paper,"Vibevej 23, 1500 København V",Company,paper
DK5610783750,Apparel ApS,"Strandvejen 145, 7500 Holstebro",Company,"clothing, medical_equipment, furniture"
DK4776436931,Beverage Write House P/S,"Søndermarken 112, 2200 København N",Company,"household, stationery, beverages"
DK5161807235,Kvalitets Premium Premium ApS,"Skolevej 124, 4400 Kalundborg",Company,luxury
DK8650676663,Refreshment International Refreshment I/S,"Algade 58, 2000 Frederiksberg",Company,beverages
DK5297778886,Rasmus Hansen,"Søndermarken 150, 8900 Randers",Individual,No preference
DK4431078106,Butik Group,"Dronningensgade 92, 2670 Greve",Company,produce
DK2605548088,Signe Caroline Hansen,"Kløvervej 4, 1500 København V",Individual,No preference
DK4919706735,Apparel IVS,"Lærkevej 25, 6100 Haderslev",Company,clothing
DK7465834732,Office Study P/S,"Lærkevej 72, 2635 Ishøj",Company,stationery
DK4067213499,Toy Associated Child,"Ringvejen 98, 9800 Hjørring",Company,toys
DK9894264595,Rød Domestic,"Kastanjevej 110, 2820 Gentofte",Company,"electronics, household"
DK8760642358,Sølv Diagnostic,"Vibevej 79, 2750 Ballerup",Company,"raw_materials, medical_equipment"
DK7505693643,Clinical K/S,"Jernbanegade 150, 3460 Birkerød",Company,"household, medical_equipment, electronics"
DK7805633786,Grøn Tekstil,"Vestergade 47, 2200 København N",Company,cosmetics
DK7293357327,Kirsten Svendsen,"Fyrrevej 81, 7800 Skive",Individual,No preference
DK7949795085,Handel A/S,"Fasanvej 108, 4800 Nykøbing F",Company,cosmetics
DK3362646960,Vest Chemical,"Havnevej 70, 3500 Værløse",Company,"chemicals, food, raw_materials"
DK8880079328,Athletic Gruppe,"Slotsgade 129, 7100 Vejle",Company,"luxury, sports, medical_equipment"
DK2041349374,Bronze Tech Physical I/S,"Ringvejen 2, 3000 Helsingør",Company,"sports, produce"
DK7403028869,Wood Teknologi,"Birkevej 90, 2600 Glostrup",Company,"furniture, cosmetics"
DK5296710795,Lifestyle Quality Habitat,"Nørremarksvej 122, 4000 Roskilde",Company,household
DK3954581592,Lone Martin Pedersen,"Platanvej 21, 6000 Kolding",Individual,No preference
DK1741134891,Butik ApS,"Havnevej 136, 2750 Ballerup",Company,"medical, raw_materials"
DK6882074066,Paper Book,"Skovvej 70, 8700 Horsens",Company,stationery
DK8953271391,Skandinavisk Molecular Gruppe,"Bredgade 94, 2600 Glostrup",Company,"medical_equipment, chemicals"
DK8150736635,Pernille Rasmus Jacobsen,"Adelgade 45, 3000 Helsingør",Individual,No preference
DK6246716604,Wellbeing Living,"Hasselvej 103, 6700 Esbjerg",Company,"furniture, medical, chemicals"
DK5082603360,Training Universal Løsninger K/S,"Fyrrevej 46, 8200 Aarhus N",Company,"food, sports, paper"
DK9752058817,Clinical Fresh,"Sct. Annagade 25, 4600 Køge",Company,"produce, electronics, medical_equipment"
DK6875597607,Dansk Natural Rådgivning,"Stationsvej 20, 6000 Kolding",Company,"cosmetics, raw_materials"
DK6859286614,Apparel Gruppe,"Nørregade 148, 2200 København N",Company,"clothing, raw_materials"
DK7801948900,Elite I/S,"Søndermarken 9, 2750 Ballerup",Company,"luxury, medical, beverages"
DK5033992825,Green Universal Vital,"Stationsvej 91, 7400 Herning",Company,"produce, cosmetics, medical"
DK6572436051,Hvid Elite Elegant,"Nørremarksvej 133, 4400 Kalundborg",Company,"luxury, raw_materials, medical"
DK3328710672,Element K/S,"Søndermarken 129, 5700 Svendborg",Company,chemicals
DK9776185998,Sort Recreation,"Kastanjevej 89, 4700 Næstved",Company,toys
DK8133593748,Write Note,"Skolevej 27, 4300 Holbæk",Company,stationery
DK2466538300,Hanne Theodor Rasmussen,"Nørregade 44, 4000 Roskilde",Individual,No preference
DK7561728644,Ingeniør ApS,"Sct. Annagade 93, 3520 Farum",Company,"medical, paper, household"
DK5694628398,Nutrition Taste A/S,"Elmevej 116, 5800 Nyborg",Company,"paper, cosmetics, food"
DK3780342764,Pia Lars Bak,"Tjørnevej 108, 2100 København Ø",Individual,No preference
DK6306523372,Kongelig Motion Energy Holding,"Møllevej 31, 2635 Ishøj",Company,sports
DK8100770118,Hans Kristine Svendsen,"Bellisvej 82, 1500 København V",Individual,No preference
DK6491309593,Blå Natural Holding,"Mosevej 26, 8600 Silkeborg",Company,"medical, raw_materials"
DK2148679234,Vest Living Fødevare,"Industrivej 53, 3600 Frederikssund",Company,"sports, furniture"
DK9448235386,Morten Michael Kristiansen,"Lavgade 128, 2600 Glostrup",Individual,No preference
DK9730449971,Natural Gruppe,"Bellisvej 93, 4300 Holbæk",Company,"raw_materials, cosmetics"
DK6383593996,Line Vestergaard,"Kløvervej 128, 4200 Slagelse",Individual,No preference
DK1807327369,Thomas Thomsen,"Havnevej 109, 2650 Hvidovre",Individual,No preference
DK7757700186,Sort Stitch Group,"Bellisvej 67, 3520 Farum",Company,clothing
DK6995554056,Nord Health Group,"Lillegade 123, 4600 Køge",Company,medical
DK3605585995,Systemer ApS,"Kongensgade 8, 4800 Nykøbing F",Company,"medical, chemicals"
DK4048500685,Christian Mortensen,"Solsikkevej 132, 8200 Aarhus N",Individual,No preference
DK6038780151,Edible Budget Dwelling,"Stationsvej 67, 8600 Silkeborg",Company,"food, household"
DK2150111350,Anna Kasper Knudsen,"Storegade 124, 2100 København Ø",Individual,No preference
DK8625905455,Cultivate Diagnostic Produce,"Rosenvej 11, 6400 Sønderborg",Company,"produce, medical_equipment"
DK8664882079,Brew ApS,"Parkvej 64, 3500 Værløse",Company,beverages
DK5010075517,Edible Food Edible,"Fyrrevej 22, 4300 Holbæk",Company,"clothing, food"
DK5943324387,Dansk National Industri P/S,"Jasminvej 147, 5700 Svendborg",Company,stationery
DK2274350418,Joy Edible,"Solsikkevej 40, 7800 Skive",Company,"food, toys"
DK1367704871,Lifestyle Habitat Group,"Åvej 39, 5800 Nyborg",Company,household
DK7316122432,Sjællandsk Living,"Brogade 54, 2000 Frederiksberg",Company,household
DK8261111839,Bronze BioMed HealthTech,"Jernbanegade 140, 3400 Hillerød",Company,medical_equipment
DK9861449701,Cultivate K/S,"Kirkevej 99, 5700 Svendborg",Company,produce
DK5446846255,Erik Victor Kristensen,"Dalvej 43, 3460 Birkerød",Individual,No preference
DK7417183769,Tech Gruppe,"Havnevej 109, 2000 Frederiksberg",Company,"electronics, medical_equipment"
DK1508617313,Julie Gustav Iversen,"Tulipanvej 95, 6400 Sønderborg",Individual,No preference
DK9283085713,Bente Rikke Bech,"Bellisvej 93, 7400 Herning",Individual,No preference
DK1025210091,Signe Victoria Lund,"Algade 14, 8900 Randers",Individual,No preference
DK3555656321,Play Koncern,"Industrivej 19, 2620 Albertslund",Company,"furniture, chemicals, toys"
DK1091729577,Vest Apparel,"Østergade 11, 4700 Næstved",Company,clothing
DK2237386857,Sjællandsk Butik,"Bredgade 114, 8000 Aarhus C",Company,"stationery, paper, chemicals"
DK7633342225,Compound I/S,"Egevej 6, 8200 Aarhus N",Company,"cosmetics, chemicals"
DK4226113732,Substance K/S,"Lillegade 43, 3520 Farum",Company,"chemicals, stationery, household"
DK9904586976,Fabric Style Group,"Ahornvej 60, 2200 København N",Company,clothing
DK1734015716,Andreas Lund,"Dronningensgade 97, 3400 Hillerød",Individual,No preference
DK7186766399,Pen K/S,"Fyrrevej 109, 5700 Svendborg",Company,stationery
DK4849412401,Emil Jespersen,"Fasanvej 145, 2800 Lyngby",Individual,No preference
DK2720484983,Cure Computing Pharma Group,"Kirkevej 113, 6000 Kolding",Company,"medical, electronics"
DK9935429720,Book Print,"Rosenvej 58, 3660 Stenløse",Company,paper
DK9689331536,Karen Anna Dalsgaard,"Bredgade 144, 2600 Glostrup",Individual,No preference
DK3680673764,Anders Kristian Winther,"Platanvej 28, 3600 Frederikssund",Individual,No preference
DK2309263254,Gitte Andersen,"Torvet 145, 2200 København N",Individual,No preference
DK6715705115,Produktion Group,"Kongensgade 26, 4000 Roskilde",Company,produce
DK6299224734,Therapeutic Beauty K/S,"Søndergade 85, 2620 Albertslund",Company,"raw_materials, cosmetics, medical"
DK4455798713,Resource IVS,"Egevej 62, 6700 Esbjerg",Company,"raw_materials, household"
DK1945826486,Resource Gruppe,"Elmevej 140, 2635 Ishøj",Company,"luxury, furniture, raw_materials"
DK5418737410,Signe Nissen,"Fyrrevej 129, 2100 København Ø",Individual,No preference
DK8055556030,Sophisticated Rådgivning I/S,"Nørremarksvej 35, 9900 Frederikshavn",Company,"luxury, furniture"
DK8750840032,Dansk Culinary P/S,"Lupinvej 66, 4700 Næstved",Company,"food, produce"
DK2256776246,Emil Trine Møller,"Strandvejen 15, 4700 Næstved",Individual,No preference
DK1064484699,Hans Julie Jeppesen,"Jasminvej 53, 8900 Randers",Individual,No preference
DK9957813353,Essence Aesthetic,"Fasanvej 4, 2800 Lyngby",Company,cosmetics
DK5696705856,Martin Svendsen,"Solsikkevej 100, 4300 Holbæk",Individual,No preference
DK9929101065,Grøn Home Energy,"Rosenvej 35, 2750 Ballerup",Company,"household, stationery, sports"
DK3653594796,Syd Furnish Flavor,"Havnevej 128, 1000 København K",Company,"paper, furniture, food"
DK3316277000,Hvid Comfort Forarbejdning,"Jernbanegade 52, 8900 Randers",Company,household
DK1316756902,Guld Thread I/S,"Parkvej 13, 4800 Nykøbing F",Company,"stationery, clothing, beverages"
DK1041531046,Garment Møbel I/S,"Fyrrevej 77, 6700 Esbjerg",Company,"toys, clothing"
DK8437339412,Christina Kristensen,"Jasminvej 90, 3520 Farum",Individual,No preference
DK4386667704,Rådgivning ApS,"Kongensgade 35, 2750 Ballerup",Company,"household, stationery, electronics"
DK8969097897,Hydration Brew Fluid,"Højgade 30, 8800 Viborg",Company,beverages
DK7451071432,Guld Medical Rådgivning,"Møllevej 97, 3500 Værløse",Company,medical_equipment
DK3667292043,Life Combined Lager,"Algade 18, 9900 Frederikshavn",Company,medical
DK4067961943,Smart Therapeutic Spedition,"Jernbanegade 124, 2750 Ballerup",Company,"medical, household, electronics"
DK5759761714,Leisure K/S,"Lærkevej 76, 2650 Hvidovre",Company,"medical_equipment, toys"
DK9519577735,Martin Laursen,"Højgade 38, 4100 Ringsted",Individual,No preference
DK6447717367,Cultivate Green Premium,"Nørregade 66, 2100 København Ø",Company,"produce, luxury"
DK1225447588,Physical Athletic Game IVS,"Solsikkevej 83, 2650 Hvidovre",Company,"toys, sports"
DK3815389788,Game IVS,"Adelgade 114, 4300 Holbæk",Company,"chemicals, toys, electronics"
DK6986770879,Drikke IVS,"Birkevej 129, 2750 Ballerup",Company,clothing
DK6711463258,Jysk Book Write Gruppe,"Torvet 106, 2620 Albertslund",Company,paper
DK3574081104,Fun Leisure Rådgivning,"Fyrrevej 150, 4700 Næstved",Company,toys
DK7227593033,Spedition Holding,"Brogade 149, 6400 Sønderborg",Company,"furniture, produce, sports"
DK4256292393,Øst Standard Synthesis,"Jernbanegade 25, 7000 Fredericia",Company,"produce, chemicals"
DK4588269668,Hans Friis,"Storegade 42, 9900 Frederikshavn",Individual,No preference
DK4398953973,Skandinavisk Industri,"Bellisvej 30, 8000 Aarhus C",Company,toys
DK4638577630,Vital A/S,"Jasminvej 112, 4000 Roskilde",Company,"food, medical"
DK3380064537,Fynsk Mega Diagnostic,"Industrivej 127, 7000 Fredericia",Company,"clothing, medical_equipment"
DK8122042835,Comfort K/S,"Fasanvej 132, 4100 Ringsted",Company,household
DK7529817193,Ingeniør P/S,"Brogade 134, 2620 Albertslund",Company,sports
DK6131503960,Stine Christina Ravn,"Højgade 1, 2100 København Ø",Individual,No preference
DK7380780055,Teknologi I/S,"Torvet 116, 2670 Greve",Company,"clothing, furniture, beverages"
DK7803990970,Blå Game Forarbejdning,"Søndergade 109, 2620 Albertslund",Company,toys
DK7015992643,Computing Drikke,"Lillegade 33, 9000 Aalborg",Company,"stationery, electronics"
DK5354747485,Edible Solution Flavor,"Brogade 52, 3000 Helsingør",Company,"sports, furniture, food"
DK6562144159,Dansk Natural,"Søndermarken 105, 4200 Slagelse",Company,"cosmetics, furniture"
DK9441699194,Anne Mikkel Jensen,"Dalvej 36, 6700 Esbjerg",Individual,No preference
DK3816872014,Tina Mathilde Eriksen,"Rosenvej 116, 4800 Nykøbing F",Individual,No preference
DK6272000062,Rød Super Butik Gruppe,"Bredgade 34, 4800 Nykøbing F",Company,"clothing, luxury, household"
